Title,Price_in_lacs,Auction-rating,img,Model,driven-in_kms,Type,Engine,Transmission_type
Daihatsu Mira  2014 X Memorial Edition for Sale,"

                        PKR 22.95 ",9.7/10,https://cache2.pakwheels.com/ad_pictures/9585/tn_daihatsu-mira-x-memorial-edition-2014-95855109.webp,2014,"77,000 km",Petrol,660 cc,Automatic
Daihatsu Mira  2018 X SA lll for Sale,"

                        PKR 29.75 ",9.7/10,https://cache1.pakwheels.com/ad_pictures/8892/tn_daihatsu-mira-x-sa-lll-2018-88925365.webp,2018,"51,000 km",Petrol,660 cc,Automatic
Honda Civic Eagle Eye 2005 VTi Oriel 1.6 for Sale,"

                        PKR 13.5 ",5.7/10,https://cache3.pakwheels.com/ad_pictures/9606/tn_honda-civic-vti-oriel-2-2005-96066448.webp,2005,"152,618 km",Petrol,1600 cc,Manual
Nissan Clipper  2018  for Sale,"

                        PKR 29.5 ",8.7/10,https://cache2.pakwheels.com/ad_pictures/9553/tn_nissan-clipper-2018-95539964.webp,2018,"116,710 km",Petrol,660 cc,Automatic
Suzuki Wagon R  2018 VXR for Sale,"

                        PKR 18.4 ",9/10,https://cache2.pakwheels.com/ad_pictures/9605/tn_suzuki-wagon-r-vxr-2018-96056066.webp,2018,"109,000 km",Petrol,1000 cc,Manual
Changan Alsvin  2022 1.5L DCT Comfort for Sale,"

                        PKR 35 ",8.4/10,https://cache3.pakwheels.com/ad_pictures/9435/tn_changan-alsvin-1-5l-dct-comfort-2022-94352789.webp,2022,"17,875 km",Petrol,1500 cc,Automatic
Toyota Corolla Axio  2007 G for Sale,"

                        PKR 32 ",7.1/10,https://cache2.pakwheels.com/ad_pictures/9606/tn_toyota-corolla-axio-1-5-g-2007-96061524.webp,2007,"127,000 km",Petrol,1500 cc,Automatic
Honda Vezel  2016 Hybrid Z for Sale,"

                        PKR 53 ",7.7/10,https://cache3.pakwheels.com/ad_pictures/9576/tn_honda-vezel-hybrid-z-2016-95767970.webp,2016,"50,593 km",Hybrid,1500 cc,Automatic
Suzuki Alto  2014 F for Sale,"

                        PKR 21 ",8.1/10,https://cache1.pakwheels.com/ad_pictures/9594/tn_suzuki-alto-f-2-2014-95942173.webp,2014,"76,536 km",Petrol,660 cc,Automatic
Daihatsu Mira  2018 X SA lll for Sale,"

                        PKR 31 ",,https://cache3.pakwheels.com/ad_pictures/9496/tn_daihatsu-mira-x-sa-lll-2018-94966490.webp,2018,"36,000 km",Petrol,660 cc,Automatic
Daihatsu Bego  2008  for Sale,"

                        PKR 30 ",8/10,https://cache2.pakwheels.com/ad_pictures/9560/tn_daihatsu-bego-2008-95606471.webp,2008,"112,424 km",Petrol,1500 cc,Automatic
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,"

                        PKR 63 ",9.6/10,https://cache4.pakwheels.com/ad_pictures/9549/tn_honda-civic-oriel-1-8-i-vtec-cvt-2021-95495723.webp,2021,"16,848 km",Petrol,1800 cc,Automatic
Toyota Corolla Axio  2020  for Sale,"

                        PKR 82 ",9.8/10,https://cache3.pakwheels.com/ad_pictures/9516/tn_toyota-corolla-axio-2020-95167996.webp,2020,"34,805 km",Petrol,1500 cc,Automatic
Honda Vezel  2018 Hybrid RS Honda Sensing  for Sale,"

                        PKR 75 ",7/10,https://cache2.pakwheels.com/ad_pictures/9148/tn_honda-vezel-hybrid-rs-honda-sensing-2018-91488623.webp,2018,"95,000 km",Hybrid,1500 cc,Automatic
